loss,nb_trees,nb_features,test_score
gini,1.0,1.0,0.625541125541
gini,1.0,2.0,0.606060606061
gini,1.0,3.0,0.58658008658
gini,1.0,4.0,0.569264069264
gini,1.0,5.0,0.582251082251
gini,1.0,6.0,0.608225108225
gini,1.0,7.0,0.62987012987
gini,1.0,8.0,0.584415584416
gini,1.0,9.0,0.584415584416
gini,1.0,10.0,0.588744588745
gini,2.0,1.0,0.597402597403
gini,2.0,2.0,0.632034632035
gini,2.0,3.0,0.608225108225
gini,2.0,4.0,0.619047619048
gini,2.0,5.0,0.649350649351
gini,2.0,6.0,0.640692640693
gini,2.0,7.0,0.603896103896
gini,2.0,8.0,0.636363636364
gini,2.0,9.0,0.619047619048
gini,2.0,10.0,0.645021645022
gini,3.0,1.0,0.601731601732
gini,3.0,2.0,0.603896103896
gini,3.0,3.0,0.612554112554
gini,3.0,4.0,0.597402597403
gini,3.0,5.0,0.612554112554
gini,3.0,6.0,0.575757575758
gini,3.0,7.0,0.590909090909
gini,3.0,8.0,0.590909090909
gini,3.0,9.0,0.582251082251
gini,3.0,10.0,0.632034632035
gini,4.0,1.0,0.612554112554
gini,4.0,2.0,0.603896103896
gini,4.0,3.0,0.642857142857
gini,4.0,4.0,0.625541125541
gini,4.0,5.0,0.634199134199
gini,4.0,6.0,0.62987012987
gini,4.0,7.0,0.645021645022
gini,4.0,8.0,0.62987012987
gini,4.0,9.0,0.616883116883
gini,4.0,10.0,0.608225108225
gini,5.0,1.0,0.599567099567
gini,5.0,2.0,0.625541125541
gini,5.0,3.0,0.612554112554
gini,5.0,4.0,0.595238095238
gini,5.0,5.0,0.627705627706
gini,5.0,6.0,0.655844155844
gini,5.0,7.0,0.627705627706
gini,5.0,8.0,0.62987012987
gini,5.0,9.0,0.612554112554
gini,5.0,10.0,0.608225108225
gini,6.0,1.0,0.660173160173
gini,6.0,2.0,0.616883116883
gini,6.0,3.0,0.621212121212
gini,6.0,4.0,0.601731601732
gini,6.0,5.0,0.634199134199
gini,6.0,6.0,0.595238095238
gini,6.0,7.0,0.642857142857
gini,6.0,8.0,0.638528138528
gini,6.0,9.0,0.61038961039
gini,6.0,10.0,0.634199134199
gini,7.0,1.0,0.632034632035
gini,7.0,2.0,0.619047619048
gini,7.0,3.0,0.642857142857
gini,7.0,4.0,0.623376623377
gini,7.0,5.0,0.619047619048
gini,7.0,6.0,0.621212121212
gini,7.0,7.0,0.62987012987
gini,7.0,8.0,0.612554112554
gini,7.0,9.0,0.614718614719
gini,7.0,10.0,0.642857142857
gini,8.0,1.0,0.638528138528
gini,8.0,2.0,0.623376623377
gini,8.0,3.0,0.625541125541
gini,8.0,4.0,0.668831168831
gini,8.0,5.0,0.621212121212
gini,8.0,6.0,0.655844155844
gini,8.0,7.0,0.647186147186
gini,8.0,8.0,0.621212121212
gini,8.0,9.0,0.636363636364
gini,8.0,10.0,0.647186147186
gini,9.0,1.0,0.612554112554
gini,9.0,2.0,0.58658008658
gini,9.0,3.0,0.61038961039
gini,9.0,4.0,0.662337662338
gini,9.0,5.0,0.608225108225
gini,9.0,6.0,0.62987012987
gini,9.0,7.0,0.62987012987
gini,9.0,8.0,0.625541125541
gini,9.0,9.0,0.651515151515
gini,9.0,10.0,0.623376623377
gini,10.0,1.0,0.625541125541
gini,10.0,2.0,0.636363636364
gini,10.0,3.0,0.623376623377
gini,10.0,4.0,0.636363636364
gini,10.0,5.0,0.638528138528
gini,10.0,6.0,0.651515151515
gini,10.0,7.0,0.645021645022
gini,10.0,8.0,0.647186147186
gini,10.0,9.0,0.614718614719
gini,10.0,10.0,0.62987012987
gini,11.0,1.0,0.634199134199
gini,11.0,2.0,0.621212121212
gini,11.0,3.0,0.655844155844
gini,11.0,4.0,0.634199134199
gini,11.0,5.0,0.647186147186
gini,11.0,6.0,0.638528138528
gini,11.0,7.0,0.645021645022
gini,11.0,8.0,0.640692640693
gini,11.0,9.0,0.632034632035
gini,11.0,10.0,0.62987012987
gini,12.0,1.0,0.640692640693
